INSERT INTO t_user_weight VALUES ('1', '200010001', 'zlto','男', '43', '深圳', '2018-10-29 16:18:43');
INSERT INTO t_user_weight VALUES ('2', '200010002', 'fjnd','男', '15', '杭州', '2018-10-29 16:18:43');
INSERT INTO t_user_weight VALUES ('3', '200010003', 'sobl','女', '69', '北京', '2018-10-29 16:18:43');
INSERT INTO t_user_weight VALUES ('4', '200010004', 'ipme','男', '93', '上海', '2018-10-29 16:18:43');
INSERT INTO t_user_weight VALUES ('5', '200010005', 'awih','男', '12', '广州', '2018-10-29 16:18:43');
INSERT INTO t_user_weight VALUES ('6', '200010006', 'otki','男', '24', '深圳', '2018-10-29 16:18:43');
INSERT INTO t_user_weight VALUES ('7', '200010007', 'lbqh','男', '38', '杭州', '2018-10-29 16:18:43');
INSERT INTO t_user_weight VALUES ('8', '200010008', 'xecp','女', '51', '杭州', '2018-10-29 16:18:43');
INSERT INTO t_user_weight VALUES ('9', '200010009', 'nxse','男', '55', '广州', '2018-10-29 16:18:43');
INSERT INTO t_user_weight VALUES ('10', '200010010', 'eubv','女', '17', '杭州', '2018-10-29 16:18:43');
INSERT INTO t_user_weight VALUES ('11', '200010011', 'ovnb','男', '74', '杭州', '2018-10-29 16:18:43');
INSERT INTO t_user_weight VALUES ('12', '200010012', 'rbcs','女', '33', '深圳', '2018-10-29 16:18:43');
INSERT INTO t_user_weight VALUES ('13', '200010013', 'ekyw','女', '68', '杭州', '2018-10-29 16:18:43');
INSERT INTO t_user_weight VALUES ('14', '200010014', 'lefd','女', '15', '广州', '2018-10-29 16:18:43');
INSERT INTO t_user_weight VALUES ('15', '200010015', 'whvm','女', '77', '北京', '2018-10-29 16:18:43');
INSERT INTO t_user_weight VALUES ('16', '200010016', 'tijy','女', '15', '杭州', '2018-10-29 16:18:43');
INSERT INTO t_user_weight VALUES ('17', '200010017', 'wlyp','男', '45', '广州', '2018-10-29 16:18:43');
INSERT INTO t_user_weight VALUES ('18', '200010018', 'gync','男', '19', '杭州', '2018-10-29 16:18:43');
INSERT INTO t_user_weight VALUES ('19', '200010019', 'oruy','女', '95', '杭州', '2018-10-29 16:18:43');
INSERT INTO t_user_weight VALUES ('20', '200010020', 'xpqv','女', '43', '北京', '2018-10-29 16:18:43');
INSERT INTO t_user_weight VALUES ('21', '200010021', 'vmoz','男', '18', '北京', '2018-10-29 16:18:43');
INSERT INTO t_user_weight VALUES ('22', '200010022', 'cdmk','女', '64', '广州', '2018-10-29 16:18:43');
INSERT INTO t_user_weight VALUES ('23', '200010023', 'biat','男', '26', '北京', '2018-10-29 16:18:43');
INSERT INTO t_user_weight VALUES ('24', '200010024', 'zgev','男', '16', '北京', '2018-10-29 16:18:43');
INSERT INTO t_user_weight VALUES ('25', '200010025', 'rflj','男', '13', '上海', '2018-10-29 16:18:43');
INSERT INTO t_user_weight VALUES ('26', '200010026', 'miub','女', '43', '杭州', '2018-10-29 16:18:43');
INSERT INTO t_user_weight VALUES ('27', '200010027', 'fpcr','女', '45', '杭州', '2018-10-29 16:18:43');
INSERT INTO t_user_weight VALUES ('28', '200010028', 'lsea','男', '66', '广州', '2018-10-29 16:18:43');
INSERT INTO t_user_weight VALUES ('29', '200010029', 'apgf','女', '60', '上海', '2018-10-29 16:18:43');
INSERT INTO t_user_weight VALUES ('30', '200010030', 'bnhk','女', '18', '北京', '2018-10-29 16:18:43');
INSERT INTO t_user_weight VALUES ('31', '200010031', 'jubo','女', '72', '上海', '2018-10-29 16:18:43');
INSERT INTO t_user_weight VALUES ('32', '200010032', 'nrjq','男', '62', '杭州', '2018-10-29 16:18:43');
INSERT INTO t_user_weight VALUES ('33', '200010033', 'uhyd','男', '20', '上海', '2018-10-29 16:18:43');
INSERT INTO t_user_weight VALUES ('34', '200010034', 'sbqy','女', '56', '广州', '2018-10-29 16:18:43');
INSERT INTO t_user_weight VALUES ('35', '200010035', 'xqgp','女', '22', '北京', '2018-10-29 16:18:43');
INSERT INTO t_user_weight VALUES ('36', '200010036', 'ryil','女', '29', '北京', '2018-10-29 16:18:43');
INSERT INTO t_user_weight VALUES ('37', '200010037', 'ijmz','女', '34', '杭州', '2018-10-29 16:18:43');
INSERT INTO t_user_weight VALUES ('38', '200010038', 'urst','女', '48', '广州', '2018-10-29 16:18:43');
INSERT INTO t_user_weight VALUES ('39', '200010039', 'tgbh','女', '12', '杭州', '2018-10-29 16:18:43');
INSERT INTO t_user_weight VALUES ('40', '200010040', 'ubfe','女', '53', '广州', '2018-10-29 16:18:43');
INSERT INTO t_user_weight VALUES ('41', '200010041', 'vwxl','男', '49', '北京', '2018-10-29 16:18:43');
INSERT INTO t_user_weight VALUES ('42', '200010042', 'ydku','女', '56', '深圳', '2018-10-29 16:18:43');
INSERT INTO t_user_weight VALUES ('43', '200010043', 'wvfl','男', '40', '广州', '2018-10-29 16:18:43');
INSERT INTO t_user_weight VALUES ('44', '200010044', 'lpfz','女', '10', '深圳', '2018-10-29 16:18:43');
INSERT INTO t_user_weight VALUES ('45', '200010045', 'phud','女', '32', '广州', '2018-10-29 16:18:43');
INSERT INTO t_user_weight VALUES ('46', '200010046', 'nwvs','女', '19', '杭州', '2018-10-29 16:18:43');
INSERT INTO t_user_weight VALUES ('47', '200010047', 'eoin','女', '42', '深圳', '2018-10-29 16:18:43');
