"135089022488793862"	"角色1"	"135089021482160897"	"1"	"system"	"100000000000000001"	"23/1/2018 09:18:50"	"23/1/2018 09:18:50"
"142489562600424448"	"财务"	"142489562147439622"	"0"	"139452416557819136"	"139452416557819136"	"2/2/2018 14:21:15"	"2/2/2018 14:21:15"
"142519260034344193"	"运营"	"142489562147439622"	"0"	"109947511384286464"	"139452416557819136"	"2/2/2018 15:21:01"	"2/2/2018 15:21:01"
"142536984265466504"	"游客"	"142489562147439622"	"1"	"109947511384286464"	"109947511384286464"	"2/2/2018 15:55:28"	"2/2/2018 15:55:28"
"142598289663960324"	"超级管理员"	"142598289563297024"	"1"	"100000000000000001"	"100000000000000001"	"2/2/2018 17:58:02"	"2/2/2018 17:58:02"
"143124103165880323"	"用户管理员"	"142598289563297024"	"0"	"100000000000000001"	"100000000000000001"	"3/2/2018 11:22:45"	"3/2/2018 11:22:45"
"143197270987220997"	"财务"	"143197270945277957"	"0"	"100000000000000001"	"100000000000000001"	"3/2/2018 13:48:08"	"3/2/2018 13:48:08"
"143379317194205184"	"超级管理员"	"142598289563297024"	"0"	"100000000000000001"	"100000000000000001"	"3/2/2018 19:49:49"	"3/2/2018 19:49:49"
"143397474478827524"	"用户管理员"	"142489562147439622"	"0"	"109947511384286464"	"139452416557819136"	"3/2/2018 20:25:54"	"3/2/2018 20:25:54"
"144510189700097288"	"超级管理员"	"144510189624599808"	"0"	"140331489987373057"	"140331729222084616"	"5/2/2018 09:16:39"	"5/2/2018 09:16:39"
"144563956667623432"	"运营管理"	"144563956600514563"	"0"	"100000000000000001"	"100000000000000001"	"5/2/2018 11:03:30"	"5/2/2018 11:03:30"
"144565646980524035"	"超级管理员"	"144565646938580999"	"0"	"100000000000000001"	"100000000000000001"	"5/2/2018 11:06:51"	"5/2/2018 11:06:51"
"144567854870538247"	"超级管理员"	"142489562147439622"	"0"	"109947511384286464"	"100000000000000001"	"5/2/2018 11:11:15"	"5/2/2018 11:11:15"
"144569060783269890"	"测试"	"144569060749715456"	"0"	"100000000000000001"	"100000000000000001"	"5/2/2018 11:13:38"	"5/2/2018 11:13:38"
"144571289502197766"	"超级管理员"	"143197270945277957"	"0"	"100000000000000001"	"139452416557819136"	"5/2/2018 11:18:04"	"5/2/2018 11:18:04"
"145241832773625857"	"超级管理员"	"145241832723294217"	"0"	"100000000000000001"	"140331489987373057"	"6/2/2018 09:30:19"	"6/2/2018 09:30:19"
